客戶,基金,基金簡稱,風險等級,金額,總金額,weight
143389,48,野村中國機會基金,RR5,48240,164270,0.29366287210080966
143389,54,野村雙印傘型之印度潛力基金,RR5,3000,164270,0.018262616424179704
143389,56,野村亞太複合高收益債基金-累積型新臺幣計價,RR4,0,164270,0.0
143726,7,野村中小基金-累積類型,RR5,3000,6000,0.5
143726,19,野村鴻運基金,RR4,3000,6000,0.5
144414,3,野村成長基金,RR4,10000,1163240,0.0085966782435267
144414,5,野村 e科技基金,RR5,10000,1163240,0.0085966782435267
144414,7,野村中小基金-累積類型,RR5,10000,1163240,0.0085966782435267
144414,48,野村中國機會基金,RR5,20000,1163240,0.0171933564870534
144414,93,野村日本領先基金-累積類型,RR4,10000,1163240,0.0085966782435267
144414,C7,野村四年階梯到期新興債-累積人民幣計價,RR3,1103240,1163240,0.9484199305388398
285511,A9,野村亞太新興債券基金-累積類型新臺幣計價,RR3,0,250000,0.0
285511,20,野村環球基金-新臺幣計價,RR4,50000,250000,0.2
285511,76,野村動態配置多重資產基金-累積類型新臺幣計價,RR3,100000,250000,0.4
285511,A3,野村核心配置多重資產基金-累積類型新臺幣計價,RR3,100000,250000,0.4
14481,1,野村優質基金-累積類型新臺幣計價,RR4,5000,35000,0.14285714285714285
14481,37,野村全球生技醫療基金,RR4,5000,35000,0.14285714285714285
14481,46,野村新興傘型之大俄羅斯基金,RR5,5000,35000,0.14285714285714285
14481,48,野村中國機會基金,RR5,5000,35000,0.14285714285714285
14481,56,野村亞太複合高收益債基金-累積型新臺幣計價,RR4,5000,35000,0.14285714285714285
14481,96,野村多元收益平衡基金-月配類型新臺幣計價,RR3,10000,35000,0.2857142857142857
14631,5,野村 e科技基金,RR5,400000,2350000,0.1702127659574468
14631,7,野村中小基金-累積類型,RR5,200000,2350000,0.0851063829787234
14631,8,野村全球品牌基金,RR4,0,2350000,0.0
14631,9,野村全球高股息基金-累積型新臺幣計價,RR4,0,2350000,0.0
14631,13,野村歐洲高股息基金-累積類型,RR4,0,2350000,0.0
14631,17,野村亞太高股息基金-累積型新臺幣計價,RR5,200000,2350000,0.0851063829787234
14631,18,野村台灣運籌基金,RR4,0,2350000,0.0
14631,20,野村環球基金-新臺幣計價,RR4,0,2350000,0.0
14631,24,野村新馬基金,RR5,100000,2350000,0.0425531914893617
14631,27,野村泰國基金,RR5,0,2350000,0.0
14631,36,野村台灣高股息基金,RR4,50000,2350000,0.02127659574468085
14631,37,野村全球生技醫療基金,RR4,100000,2350000,0.0425531914893617
14631,45,野村新興傘型之中東非洲基金,RR5,200000,2350000,0.0851063829787234
14631,46,野村新興傘型之大俄羅斯基金,RR5,300000,2350000,0.1276595744680851
14631,48,野村中國機會基金,RR5,100000,2350000,0.0425531914893617
14631,51,野村巴西證券投資信託基金,RR5,200000,2350000,0.0851063829787234
14631,54,野村雙印傘型之印度潛力基金,RR5,200000,2350000,0.0851063829787234
14631,55,野村雙印傘型之印尼潛力基金,RR5,200000,2350000,0.0851063829787234
14631,67,野村歐洲中小成長基金-累積類型新臺幣計價,RR4,100000,2350000,0.0425531914893617
14631,93,野村日本領先基金-累積類型,RR4,0,2350000,0.0
147735,20,野村環球基金-新臺幣計價,RR4,0,0,
147735,27,野村泰國基金,RR5,0,0,
147827,27,野村泰國基金,RR5,3000,6000,0.5
147827,28,野村高科技基金,RR5,3000,6000,0.5
147827,93,野村日本領先基金-累積類型,RR4,0,6000,0.0
14784,1,野村優質基金-累積類型新臺幣計價,RR4,15000,135000,0.1111111111111111
14784,5,野村 e科技基金,RR5,120000,135000,0.8888888888888888
147951,1,野村優質基金-累積類型新臺幣計價,RR4,3000,16000,0.1875
147951,13,野村歐洲高股息基金-累積類型,RR4,3000,16000,0.1875
147951,27,野村泰國基金,RR5,3000,16000,0.1875
147951,37,野村全球生技醫療基金,RR4,4000,16000,0.25
147951,48,野村中國機會基金,RR5,3000,16000,0.1875
148221,20,野村環球基金-新臺幣計價,RR4,5000,22000,0.22727272727272727
148221,21,野村鴻利基金,RR4,5000,22000,0.22727272727272727
148221,44,野村全球氣候變遷基金,RR4,5000,22000,0.22727272727272727
148221,46,野村新興傘型之大俄羅斯基金,RR5,7000,22000,0.3181818181818182
296560,A9,野村亞太新興債券基金-累積類型新臺幣計價,RR3,0,551527,0.0
296560,C9,野村優質基金-S類型新臺幣計價,RR5,11000,551527,0.01994462646434354
296560,1,野村優質基金-累積類型新臺幣計價,RR4,20000,551527,0.036262957207897344
296560,7,野村中小基金-累積類型,RR5,20000,551527,0.036262957207897344
296560,56,野村亞太複合高收益債基金-累積型新臺幣計價,RR4,0,551527,0.0
296560,94,野村全球短期收益基金-新台幣計價,RR2,0,551527,0.0
296560,95,野村多元收益平衡基金-累積類型新臺幣計價,RR3,201527,551527,0.36539824886179645
296560,A3,野村核心配置多重資產基金-累積類型新臺幣計價,RR3,0,551527,0.0
296560,D3,野村鑫全球債券組合基金-S類型,RR3,11000,551527,0.01994462646434354
296560,D4,野村鑫平衡組合基金-S類型,RR4,11000,551527,0.01994462646434354
296560,D7,野村環球基金-S類型新臺幣計價,RR5,66000,551527,0.11966775878606124
296560,E3,野村動態配置多重資產基金-S類型新臺幣計價,RR3,11000,551527,0.01994462646434354
296560,E8,野村新興收益傘型基金之中國境內新興債券基金-累積類型新臺幣計?,RR3,200000,551527,0.36262957207897345
148580,54,野村雙印傘型之印度潛力基金,RR5,3000,3000,1.0
148633,8,野村全球品牌基金,RR4,3000,19000,0.15789473684210525
148633,24,野村新馬基金,RR5,3000,19000,0.15789473684210525
148633,27,野村泰國基金,RR5,5000,19000,0.2631578947368421
148633,37,野村全球生技醫療基金,RR4,5000,19000,0.2631578947368421
148633,51,野村巴西證券投資信託基金,RR5,3000,19000,0.15789473684210525
149029,13,野村歐洲高股息基金-累積類型,RR4,0,8000,0.0
149029,14,野村全球不動產證券化基金-累積型新臺幣計價,RR4,0,8000,0.0
149029,20,野村環球基金-新臺幣計價,RR4,8000,8000,1.0
149029,24,野村新馬基金,RR5,0,8000,0.0
149029,46,野村新興傘型之大俄羅斯基金,RR5,0,8000,0.0
149029,51,野村巴西證券投資信託基金,RR5,0,8000,0.0
149029,55,野村雙印傘型之印尼潛力基金,RR5,0,8000,0.0
149287,18,野村台灣運籌基金,RR4,6000,120000,0.05
149287,27,野村泰國基金,RR5,26000,120000,0.21666666666666667
149287,37,野村全球生技醫療基金,RR4,0,120000,0.0
149287,46,野村新興傘型之大俄羅斯基金,RR5,0,120000,0.0
149287,51,野村巴西證券投資信託基金,RR5,3000,120000,0.025
149287,54,野村雙印傘型之印度潛力基金,RR5,10000,120000,0.08333333333333333
149287,55,野村雙印傘型之印尼潛力基金,RR5,55000,120000,0.4583333333333333
149287,57,野村亞太複合高收益債基金-月配型新臺幣計價,RR4,10000,120000,0.08333333333333333
149287,96,野村多元收益平衡基金-月配類型新臺幣計價,RR3,10000,120000,0.08333333333333333
149324,48,野村中國機會基金,RR5,350000,353000,0.9915014164305949
149324,54,野村雙印傘型之印度潛力基金,RR5,3000,353000,0.0084985835694051
14934,17,野村亞太高股息基金-累積型新臺幣計價,RR5,3000,21000,0.14285714285714285
14934,20,野村環球基金-新臺幣計價,RR4,4000,21000,0.19047619047619047
