Date,AGG,BND,BSV,BNDX,MINT,BIV,NEAR,SCHZ,FTSM,SPAB,BLV,TOTL,IUSB,GVI,ISTB,BOND,IAGG,FBND,VBND,AGGY,RAVI,ILTB,LDUR,FTSD,ULST,FLTB,XMPT,FIBR,MINC,AGZD,NFLT,HOLD,FCOR,BYLD,KCNY,WYDE,SAGG,AGND
2017-08-16,105.233673,78.534233,77.551872,52.081593,98.213387,81.155098,48.58007,50.178669,58.166340000000005,27.602455,87.839302,46.854178999999995,48.830765,107.44032299999999,48.396159999999995,101.065887,49.831165000000006,48.131423999999996,47.745697,48.26577,73.047112,59.726681000000006,96.31905400000001,92.69696,39.084274,48.706759999999996,25.370945000000003,100.4500,46.725029,45.967464,23.532465,96.59859499999999,48.186069,23.549095,32.502041,33.349998,30.687162,41.520042
2017-08-17,105.386925,78.67778,77.610031,52.186443,98.223045,81.288841,48.589745,50.312798,58.171184999999994,27.654984000000002,88.168137,46.930141,48.878555,107.54666100000001,48.415397999999996,101.293304,49.887802,48.217503,47.85078,48.301907,73.047112,59.85779599999999,96.338135,92.69696,39.074581,48.80315,25.398884,100.4900,46.715466,46.025051,23.50506,96.59859499999999,48.313347,23.577297,32.407425,33.349998,30.687162,41.568031
2017-08-18,105.31987,78.639503,77.600349,52.176903,98.203735,81.212425,48.589745,50.264885,58.166340000000005,27.645433,88.111755,46.930141,48.888123,107.537003,48.425014000000004,101.245918,49.90699,48.236633000000005,47.85078,48.318073,73.066467,59.839062,96.347664,92.648964,39.084274,48.812794,25.380255,100.4600,46.782471,46.07304,23.579969000000002,96.59859499999999,48.357044,23.5867,32.597609999999996,33.450001,30.687162,41.625628999999996
2017-08-21,105.396507,78.67778,77.61975100000001,52.205494,98.242355,81.298393,48.599422,50.331944,58.176037,27.669306,88.37484,46.958633,48.926369,107.537003,48.434635,101.283821,49.935798999999996,48.246196999999995,47.898544,48.370490999999994,73.076164,59.988921999999995,96.357201,92.67775,39.084274,48.800270000000005,25.473394,100.5000,46.782471,46.164413,23.522195999999997,96.666573,48.418785,23.605501,32.502041,33.400002,30.687162,41.524665999999996
2017-08-22,105.300735,78.58208499999999,77.600349,52.186443,98.232704,81.241089,48.609085,50.284046000000004,58.185722,27.645433,88.18693499999999,46.92065,48.907257,107.51766200000002,48.434635,101.27433,49.897396,48.131423999999996,47.783913,48.32093,73.037437,59.885895,96.280937,92.620171,39.035793,48.771347,25.482708,100.4500,46.744183,46.154789,23.540541,96.666573,48.366539,23.5961,32.632618,33.400002,30.579077,41.601589000000004
2017-08-23,105.54019199999999,78.811768,77.668213,52.234097,98.26164200000001,81.47036,48.609085,50.370255,58.166340000000005,27.688409999999998,88.656693,46.987122,48.993305,107.682014,48.453873,101.416466,49.983784,48.265327,47.917656,48.427677,73.085823,60.176235,96.299995,92.76416800000001,39.103671999999996,48.764595,25.557217,100.5700,46.763329,46.077858,23.577219,96.666573,48.478619,23.643106,32.5872,33.419998,30.510292,41.476578
2017-08-24,105.40608200000001,78.696922,77.600349,52.234097,98.223045,81.374825,48.618752,50.341526,58.166340000000005,27.640656,88.440605,46.930141,48.964611,107.58535800000001,48.453873,101.26487,49.954994,48.274902000000004,47.840267,48.351433,73.085823,60.026379000000006,96.280937,92.69696,39.045486,48.735683,25.510645,100.5300,46.782471,46.087478999999995,23.549704000000002,96.666573,48.376041,23.633703,32.479332,33.400002,30.510292,41.466961
2017-08-25,105.48271899999999,78.792633,77.648804,52.234097,98.26164200000001,81.4608,48.609085,50.379841,58.195423,27.69796,88.656693,46.968132000000004,49.012423999999996,107.64334099999999,48.463501,101.293304,49.897396,48.303589,47.898544,48.456272,73.076164,60.279263,96.357201,92.687363,39.103671999999996,48.832066,25.49202,100.6200,46.766174,46.000919,23.549704000000002,96.772514,48.425434,23.671310000000002,32.606125,33.349998,30.510292,41.351563
2017-08-28,105.521042,78.830917,77.67791700000001,52.262695,98.280975,81.594551,48.609085,50.408584999999995,58.146938,27.721838,88.666107,47.034611,49.031548,107.67233300000001,48.463501,101.406998,49.897396,48.351406,47.974971999999994,48.4944,73.09552,60.251175,96.30954,92.716179,39.103671999999996,48.811825,25.501335,100.7100,46.785343,45.991306,23.55888,96.607262,48.395039000000004,23.680708,32.584358,33.349998,30.451335999999998,41.351563
2017-08-29,105.67429399999999,78.91703000000001,77.745773,52.281757,98.280975,81.69963100000001,48.628422,50.475639,58.185722,27.726618,88.854004,47.091587,49.098476,107.778687,48.473122,101.624893,49.957867,48.415638,47.963509,48.542053,73.09552,60.354191,96.2714,92.725769,39.103671999999996,48.870708,25.594473,100.7800,46.804531,45.972057,23.595564000000003,96.607262,48.534046000000004,23.680708,32.757515000000005,33.290001000000004,30.441509000000003,41.207314000000004
